They're very busy.,Elementary,1
This doesn't work.,Elementary,1
This is very difficult.,Elementary,1
This is very important.,Elementary,1
Try it.,Elementary,1
"Very good, thanks.",Elementary,1
We like it very much.,Elementary,1
Would you take a message please?,Elementary,1
"Yes, really.",Elementary,1
You're beautiful.,Elementary,1
You're very nice.,Elementary,1
You're very smart.,Elementary,1
Your things are all here.,Elementary,1
"A lovely day, isn’t it?",Intermediate,2
Do i have to?,Intermediate,2
Can I help you?,Intermediate,2
How are things going?,Intermediate,2
Any thing else?,Intermediate,2
Are you kidding?,Intermediate,2
Are you sure?,Intermediate,2
Do you understand me?,Intermediate,2
Are you done?,Intermediate,2
Can I ask you something?,Intermediate,2
Can you please repeat that?,Intermediate,2
Did you get it?,Intermediate,2
Do you need anything?,Intermediate,2
How are you?,Intermediate,2
How do you feel?,Intermediate,2
How much is it?,Intermediate,2
How old are you?,Intermediate,2
How was your weekend?,Intermediate,2
Is all good?,Intermediate,2
Is everything OK?,Intermediate,2
What are you doing?,Intermediate,2
What are you talking about?,Intermediate,2
What are you up to?,Intermediate,2
What are your hobbies?,Intermediate,2
What did you say?,Intermediate,2
What do you need?,Intermediate,2
What do you think?,Intermediate,2
What do you want to do?,Intermediate,2
What do you want?,Intermediate,2
What’s the weather like?,Intermediate,2
What’s your e-mail address?,Intermediate,2
What is your job?,Intermediate,2
What’s your name?,Intermediate,2
What’s your phone number?,Intermediate,2
What is going on?,Intermediate,2
When is the train leaving?,Intermediate,2
How can I go to the town centre?,Intermediate,2
Where are you from?,Intermediate,2
Where are you going?,Intermediate,2
Where are you?,Intermediate,2
Where did you get it?,Intermediate,2
Where do you live?,Intermediate,2
Are you coming with me?,Intermediate,2
How long will you stay?,Intermediate,2
"Hello jack. How are you? You look a little bad today, is everything okay?",Advanced,3
"I am very pleased to meet you, can I please have your phone number?",Advanced,3
"Hello, I just came to this school. Can I meet you? Where are you from and what do you like, can I learn?",Advanced,3
"Good afternoon, can I have a menu, please? If I ask, can I have water with my meal? Everything was very nice, I will come again.",Advanced,3
I told you the whole incident from the very beginning. Did you understand me? Please say something.,Advanced,3
"Shall we go to the cinema today? Are you feeling alright? If you want, we can sit at home today.",Advanced,3
Could you please give me your address?,Advanced,3
